date,year,month,day,precipitation_mm,temp_c,humidity_pct
2021-04-08,2021,04,08,2.67,27.17,85.85
2021-04-09,2021,04,09,3.05,26.95,87.25
2021-04-10,2021,04,10,3.22,26.96,85.39
2021-04-11,2021,04,11,6.96,27.49,79.84
2021-04-12,2021,04,12,8.03,27.28,81.98
2021-04-13,2021,04,13,10.27,27.29,83.17
2021-04-14,2021,04,14,11.54,27.11,83.79
2021-04-15,2021,04,15,16.21,27.2,79.72
2021-04-16,2021,04,16,35.43,27.61,79.6
2021-04-17,2021,04,17,15.03,27.01,81.84
2021-04-18,2021,04,18,2.41,27.63,82.77
2021-04-19,2021,04,19,3.63,27.45,82.02
2021-04-20,2021,04,20,8.44,27.45,80.44
2021-04-21,2021,04,21,0.76,27.61,79.49
2021-04-22,2021,04,22,0.02,27.64,75.52
2021-04-23,2021,04,23,1.14,28.05,73.86
2021-04-24,2021,04,24,1.84,27.54,78.37
2021-04-25,2021,04,25,1.04,28.04,78.54
2021-04-26,2021,04,26,1.03,27.69,83.84
2021-04-27,2021,04,27,1.05,28.08,83.65
2021-04-28,2021,04,28,11.88,27.58,84.88
2021-04-29,2021,04,29,4.4,27.57,83.04
2021-04-30,2021,04,30,3.16,27.3,86.07
2021-05-01,2021,05,01,1.59,27.4,87.71
2021-05-02,2021,05,02,1.15,28.07,84.51
2021-05-03,2021,05,03,1.03,27.85,86.1
2021-05-04,2021,05,04,0.86,27.94,83.13
2021-05-05,2021,05,05,1.89,27.9,83.56
2021-05-06,2021,05,06,20.21,27.09,86.01
2021-05-07,2021,05,07,3.18,26.99,82.35
2021-05-08,2021,05,08,0.97,27.69,77.59
2021-05-09,2021,05,09,6.46,27.8,82.78
2021-05-10,2021,05,10,0.54,27.94,80.41
2021-05-11,2021,05,11,0.2,27.97,84.79
2021-05-12,2021,05,12,0.96,28.41,85.14
2021-05-13,2021,05,13,2.04,28.2,86.46
2021-05-14,2021,05,14,1.47,27.97,86.59
2021-05-15,2021,05,15,0.58,28.01,86.02
2021-05-16,2021,05,16,4.64,28.31,84.35
2021-05-17,2021,05,17,13.28,27.82,86.99
2021-05-18,2021,05,18,14.93,27.82,82.92
2021-05-19,2021,05,19,2.88,27.64,82.97
